"CountryCode","GenderCode","LifeExpectancy","LowestPricEstTobacco","MediumPriceEstTobacco","Mortality","PremiumPricEstTobacco","TobaccoPrevalence","TotalTax"
"MDA","BTSX",4,1,7,20,1,8,7
"MDA","FMLE",4,0,0,20,0,8,0
"MDA","MLE",4,0,0,20,0,8,0
"MDG","BTSX",4,1,7,20,1,8,7
"MDG","FMLE",4,0,0,20,0,8,0
"MDG","MLE",4,0,0,20,0,8,0
"MDV","BTSX",4,1,7,20,1,8,7
"MDV","FMLE",4,0,0,20,0,8,0
"MDV","MLE",4,0,0,20,0,8,0
"MEX","BTSX",4,1,7,20,1,8,7
"MEX","FMLE",4,0,0,20,0,8,0
"MEX","MLE",4,0,0,20,0,8,0
"MHL","BTSX",0,0,7,0,0,8,7
"MHL","FMLE",0,0,0,0,0,8,0
"MHL","MLE",0,0,0,0,0,8,0
"MKD","BTSX",4,1,7,20,1,0,7
"MKD","FMLE",4,0,0,20,0,0,0
"MKD","MLE",4,0,0,20,0,0,0
"MLI","BTSX",4,1,7,20,1,8,7
"MLI","FMLE",4,0,0,20,0,8,0
"MLI","MLE",4,0,0,20,0,8,0
"MLT","BTSX",4,1,7,20,1,8,7
"MLT","FMLE",4,0,0,20,0,8,0
"MLT","MLE",4,0,0,20,0,8,0
"MMR","BTSX",4,1,7,20,1,8,7
"MMR","FMLE",4,0,0,20,0,8,0
"MMR","MLE",4,0,0,20,0,8,0
"MNE","BTSX",4,1,7,20,1,8,7
"MNE","FMLE",4,0,0,20,0,8,0
"MNE","MLE",4,0,0,20,0,8,0
"MNG","BTSX",4,1,7,20,1,8,7
"MNG","FMLE",4,0,0,20,0,8,0
"MNG","MLE",4,0,0,20,0,8,0
"MOZ","BTSX",4,1,7,20,1,8,7
"MOZ","FMLE",4,0,0,20,0,8,0
"MOZ","MLE",4,0,0,20,0,8,0
"MRT","BTSX",4,1,7,20,1,8,7
"MRT","FMLE",4,0,0,20,0,8,0
"MRT","MLE",4,0,0,20,0,8,0
"MUS","BTSX",4,1,7,20,1,8,7
"MUS","FMLE",4,0,0,20,0,8,0
"MUS","MLE",4,0,0,20,0,8,0
"MWI","BTSX",4,1,4,20,1,8,4
"MWI","FMLE",4,0,0,20,0,8,0
"MWI","MLE",4,0,0,20,0,8,0
"MYS","BTSX",4,1,7,20,1,8,7
"MYS","FMLE",4,0,0,20,0,8,0
"MYS","MLE",4,0,0,20,0,8,0
"NAM","BTSX",4,1,7,20,1,8,7
"NAM","FMLE",4,0,0,20,0,8,0
"NAM","MLE",4,0,0,20,0,8,0
"NER","BTSX",4,0,7,20,0,8,7
"NER","FMLE",4,0,0,20,0,8,0
"NER","MLE",4,0,0,20,0,8,0
"NGA","BTSX",4,1,7,20,1,8,7
"NGA","FMLE",4,0,0,20,0,8,0
"NGA","MLE",4,0,0,20,0,8,0
"NIC","BTSX",4,1,7,20,1,0,7
"NIC","FMLE",4,0,0,20,0,0,0
"NIC","MLE",4,0,0,20,0,0,0
"NIU","BTSX",0,1,7,0,1,0,7
"NLD","BTSX",4,1,7,20,1,8,7
"NLD","FMLE",4,0,0,20,0,8,0
"NLD","MLE",4,0,0,20,0,8,0
"NOR","BTSX",4,1,7,20,1,8,7
"NOR","FMLE",4,0,0,20,0,8,0
"NOR","MLE",4,0,0,20,0,8,0
