"ID","CountryCode","Year","GenderCode","TobaccoPrevalence","LifeExpectancy","Mortality","LowestPricEstTobacco","PremiumPricEstTobacco","MediumPriceEstTobacco","TotalTax","cost_mean","MediumPriceEstTobacco_who","AveragePrev","TobaccoPrevalence_who"
"CAF2004M","CAF",2004,"MLE",NA,NA,45.01,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2005B","CAF",2005,"BTSX",NA,NA,39.38,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2005F","CAF",2005,"FMLE",NA,NA,34.82,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2005M","CAF",2005,"MLE",NA,NA,44.53,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2006B","CAF",2006,"BTSX",NA,NA,39.73,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2006F","CAF",2006,"FMLE",NA,NA,34.97,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2006M","CAF",2006,"MLE",NA,NA,45.09,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2007B","CAF",2007,"BTSX",NA,NA,39.42,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2007F","CAF",2007,"FMLE",NA,NA,34.58,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2007M","CAF",2007,"MLE",NA,NA,44.86,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2008B","CAF",2008,"BTSX",NA,NA,39.07,NA,NA,"300","0.33",NA,NA,NA,NA
"CAF2008F","CAF",2008,"FMLE",NA,NA,34.19,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2008M","CAF",2008,"MLE",NA,NA,44.57,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2009B","CAF",2009,"BTSX",NA,NA,39.52,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2009F","CAF",2009,"FMLE",NA,NA,34.73,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2009M","CAF",2009,"MLE",NA,NA,44.92,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2011B","CAF",2011,"BTSX",NA,NA,39.09,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2011F","CAF",2011,"FMLE",NA,NA,34.55,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2011M","CAF",2011,"MLE",NA,NA,44.26,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2012B","CAF",2012,"BTSX",NA,NA,38.57,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2012F","CAF",2012,"FMLE",NA,NA,34.01,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2012M","CAF",2012,"MLE",NA,NA,43.78,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2013B","CAF",2013,"BTSX",NA,NA,38.53,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2013F","CAF",2013,"FMLE",NA,NA,33.96,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2013M","CAF",2013,"MLE",NA,NA,43.74,NA,NA,NA,NA,NA,NA,NA,NA
"CAF2014B","CAF",2014,"BTSX",NA,NA,38.22,NA,NA,"500","0.33",NA,NA,NA,NA
